y,v,u,z
3.0000009848204408,-9.280891865559849e-08,8.74625975644803e-09,3.0000009848204408
3.0000009000045256,-8.481591501591545e-08,7.993003639683034e-09,3.0000009000045256
3.000000822493231,-7.751129464423541e-08,7.3046203716800445e-09,3.000000822493231
3.000000751657459,-7.083577176384558e-08,6.67552288038983e-09,3.000000751657459
3.0000006869222924,-6.47351664531825e-08,6.1006053106630805e-09,3.0000006869222924
3.0000006277623275,-5.915996496639219e-08,5.575201486790314e-09,3.0000006277623275
3.0000005736974096,-5.406491783921751e-08,5.0950471271746785e-09,3.0000005736974096
3.000000524288737,-4.940867260887521e-08,4.656245230342299e-09,3.000000524288737
3.0000004791352985,-4.515343824109253e-08,4.255234367782678e-09,3.0000004791352985
3.00000043787062,-4.1264678393230356e-08,3.8887598478621745e-09,3.00000043787062
3.0000004001597893,-3.7710831106591296e-08,3.553847286639059e-09,3.0000004001597893
3.000000365696737,-3.4463052631964644e-08,3.2477784746266496e-09,3.000000365696737
3.0000003342017534,-3.149498332350535e-08,2.9680693084592914e-09,3.0000003342017534
3.0000003054192197,-2.87825336883184e-08,2.712449635186952e-09,3.0000003054192197
3.0000002791155307,-2.6303688987131454e-08,2.4788447011869462e-09,3.0000002791155307
3.0000002550772003,-2.4038330390853145e-08,2.2653585962783077e-09,3.0000002550772003
3.0000002331091284,-2.1968071786179372e-08,2.070258604673772e-09,3.0000002331091284
3.000000213033018,-2.0076110536958428e-08,1.8919612492209453e-09,3.000000213033018
3.000000194685927,-1.83470910975311e-08,1.7290194394273258e-09,3.000000194685927
3.0000001779189467,-1.6766980406386116e-08,1.5801106911449838e-09,3.0000001779189467
3.0000001625959927,-1.5322953949397824e-08,1.4440264569882916e-09,3.0000001625959927
3.000000148592701,-1.4003291692063918e-08,1.3196622573339062e-09,3.000000148592701
3.000000135795418,-1.2797282999265232e-08,1.2060086927986868e-09,3.000000135795418
3.0000001241002785,-1.1695139700688282e-08,1.1021432985769504e-09,3.0000001241002785
3.000000113412362,-1.0687916537036781e-08,1.0072231636515011e-09,3.000000113412362
3.0000001036449233,-9.76743868586865e-09,9.204778511681315e-10,3.0000001036449233
3.000000094718688,-8.926235325140693e-09,8.412033607279575e-10,3.000000094718688
3.000000086561209,-8.157479129965712e-09,7.687561951749806e-10,3.000000086561209
3.000000079106278,-7.454930697179932e-09,7.025484327857798e-10,3.000000079106278
